Topic,Count,Name,Representation,Representative_Docs
-1,7069,-1_would_party_republicans_one,"['would', 'party', 'republicans', 'one', 'vote', 'gt', 'even', 'get', 'election', 'democrats']","[""I'm a unicorn on here: conservative. Honestly, I think conservatives have the toughest choice to make. Do we completely throw our values down the drain in a last ditch effort to, at best, have a small chance to save the Supreme Court? Do we protest vote for the Republican we *would've* supported, so that the GOP gets a clear message of who we want? Do we compromise and vote for Johnson, in the hopes that he gets Libertarianism (a philosophy quite similar to ours) mainstream? Do we cross the lines and vote for Clinton in the hopes that it destroys the alt right for good, and we come back with a vengeance in 2020?\n\nI honestly don't know yet. I want to support Johnson. I really do. But doing so is becoming more and more of a compromise every day. The guy keeps scooting to the left as we near November. We've been utterly screwed this cycle, and I lay the blame on primarily on Rubio. Had Rubio dropped at the same time as Paul, as he should've, and had we unified around Cruz, we would've had a legitimate shot at making our case to America. But...Rubio's pride got in the way. \n\nI will not forgive him for it. Paul got out when he needed to. But Rubio? Kasich? Those guys stuck around long enough to let Trump get thin margins of victory in winner-take-all states, sealing our fate. They will **never** get my vote."", 'The GOP gained full control of the Congress in 2010. Since then, they made zero attempts to improve healthcare. That is more than eight years with no plan, and multiple attempts to repeal the ACA.\n\nAll the stuff since Trump came into office has been the same. Find a way to dismantle the ACA and take away coverage from millions of Americans.\n\nAnd, most of the stuff you mentioned has not taken effect. Just the fact that you refer to an ""Obama judge"" shows you don\'t understand the law. That case was the industry suing to block the rule from going into effect. The judge must have seen some merit in the case, and who he was appointed by probably has nothing to do with it.\n\nAnd you do realize that all the criticisms you just made of Obama were the status quo under Bush, right? You can say Obama didn\'t go far enough, but he didn\'t create any of those issues. The reason the ACA didn\'t go further was because they tried to get bipartisan support but amended it to placate the GOP. And, for all that debate and compromise, not a single Republican voted for it.\n\nIf Trump\'s pricing transparency measures actually go into effect, I will give him credit for that. But the GOP, broadly, is doing more to take healthcare away from people than they are to expanding or improving it.', 'A large number of voters (a majority even) will only ever vote for one party. Therefore, to win an election (on top the uneven electorate sizes and so on) you need a candidate that can do one or both of the following:\n\n1 - Convince swing voters to vote for them and their party.\n\n2 - Energise their own supporters to actually vote.\n\nSo you are actually only focused on a fairly small percentage of the voting public. And, of course, you are only really concerned about these two groups in the small number of swing states…\n\nSo yes, outspoken may be a good thing, but they would need to be very careful about what they are outspoken on…']"
0,1563,0_president_would_obama_republican,"['president', 'would', 'obama', 'republican', 'run', 'even', 'election', 'going', 'win', 'gop']","['The problem there is that the only candidate that\'s even attempting to run for president against Trump is Chris Christie. Everyone else is playing ""Who Wants to be Donald Trump\'s VP?"" Really, the way the other candidates treat Trump as ""of COURSE he\'s going to win, obviously"" in debates he didn\'t even show up for has done more to cement his victory as GOP candidate than anything else ever could.', '>Do these Republican contenders for the GOP nomination challenging Trump reach some sort of an understanding how not to split up the Republican votes at a critical time and rally behind a leader so as not to hand over the nomination to Trump by splitting votes?\n\nYou\'re underestimating 2 things:\n\n1. How self-centered the candidates are, and\n2. How devoted the most rabid GOP voters are to Trump\n\nTrump\'s voters won\'t ever leave him until he stops running for President.  Even if he did, they\'d probably still write his name in over voting for someone else, because they see all other candidates as illegitimate deep-state plants designed to keep their guy out of the White House.  Unless Trump tells his voters to vote for someone else, they won\'t.\n\nThe GOP candidates are also pretty selfish, and they all think *they* have the best shot at beating Biden and being the next POTUS.  This includes Trump.  This means all the candidates are thinking ""unless the rest of the field gives up and rallies around *me,* we\'ll never win the presidency.""  So it\'ll be like a game of stupid chicken, where all the candidates stay in the race as long as possible, hoping for a sea change where the other ""moderates"" drop out of the race and endorse them.  The end result will be what we saw in 2016, Trump vanquising the other contenders one by one until he\'s the last man standing.', ""You think the GOP running Trump again in '24 would give him high odds to win? Not gonna happen. He lost a winnable election as an incumbent. He's now a known commodity which takes away a 2016 repeat(he barely beat Hillary in a favorable election cycle for Congressional R's) and his approval is still terrible. The GOP shouldn't want to run Trump again, it'd be worse than his 2020 loss and maybe throw back the House and Senate back to Dems if R's win back both next year.\n\nEdit: In the 233 years of US elections, only one person has ever been elected President, lost re-election, and then win back the office 4 years after.  1 person""]"
1,835,1_tax_debt_pay_inflation,"['tax', 'debt', 'pay', 'inflation', 'taxes', 'income', 'money', 'economy', 'budget', 'spending']","['Yes it 100% would cause inflation. Tax increases are a great way to combat inflation. Congress (Republicans) is incapable of taking action despite historical low income taxes, corporate taxes, and capital gains taxes.', ""No absolutely not. His promises are not even close to possible. I ran through some budget numbers in another post, just to get an snapshot of what a Trump budget might look like. The big promises I see Trump making are to:\n\n- Cut taxes\n- Not cut Social Security\n- Not cut Medicade\n- Strengthen the military\n\nAssuming that all other government programs would be cut, this is what the federal budget would look like:\n\n**Income:**\n\n- Tax Revenue: $2.05 trillion \n- Revenue From Trust Funds: $1.13 trillion\n- Trump's Tax Cuts: - $1 trillion\n\n**Spending:**\n\n- Social Security: $895 billion\n- Military: $598 billion\n- Medicare: $986 billion\n- Interest: $229 billion for Year 1 in office\n- Paying down National Debt: $2.38 trillion\n\n**Total Shortfall:** $2.903 trillion\n\nHis numbers are off by almost *$3 trillion per year*. That's absolutely insane. His fiscal plans are the most out to lunch I've ever seen.\n\nEdit: Sources for my numbers above:\n\n- https://www.nationalpriorities.org/budget-basics/federal-budget-101/spending/\n- http://taxfoundation.org/article/details-and-analysis-donald-trump-s-tax-plan"", ""Oh sure, the US especially loves cutting taxes rather than giving out welfare.  Fun fact, after all the rebates and tax credits and everything else, the US has to most progressive tax structure in the world.  The poorest half of the country pays no federal income tax.  Low-income single parents actually have a negative tax rate.  But it's set up that way because the US has among the least progressive social spending.  I guess welfare is an especially hard sell in the US, but no one can argue against tax cuts for the poor.  \n\nhttps://www.washingtonpost.com/news/wonk/wp/2013/04/05/americas-taxes-are-the-most-progressive-in-the-world-its-government-is-among-the-least/""]"
2,561,2_harris_hillary_kamala_would,"['harris', 'hillary', 'kamala', 'would', 'primary', 'clinton', 'obama', 'party', 'win', 'going']","['I’m going to point out that it’s not because Indians are especially uninterested in politics. The influence black voters have in the political system and within the Democratic Party in particular is unusually large among ethnic groups, even ones of similar size. They’re very good at motivating voters for the consensus candidates, and getting their support in the primary can give you a ticket straight to the top three at least. That’s what Kamala is betting on. It’s her only hope of being nominated, and you better believe she’ll press that advantage. South Carolina is the big test. I’m interested in whether they’ll actually go for the old white guy (Biden) when two black candidates (Booker, Harris) are on the table. Representation matters, at least to this bloc.', 'I don’t believe Harris was Biden’s first choice for the job. I think he initially wanted to go with Klobuchar, but wound up painting himself into a corner as he made statements that narrowed his choices. He went from one of the most impressive Democrats in the primary to one that failed to make an impression outside of an attack on him about busing and dropped out before 2020 started due to her failure to get anywhere in the polls.\n\nHarris just doesn’t have those qualities that make her stand out as a VP. Biden could’ve used himself as an example. The VP is sort of like the President’s attack dog, doing the dirty PR work when it comes to mixing it up with the opposition. They’re also supposed to complement the President and fill their weak points, and Harris just doesn’t seem to do that because in a lot of ways she has a lot of the same weaknesses as Biden.', 'I really dont understand how could Kamala Harris go from exciting political figure to the reviled politician she’s now in such a short period of time. Theres more publical scrutiny now for sure, but the Kamala Harris that eviscerated Kavanaugh and Barr in Senate hearings or even Biden at the primary debates seemed like a charismatic and intelligent politician and she then suddenly transformed into a Hillary Clinton knock-off that laughs at uncomfortable questions, acts fake and has zero charisma (and terrible approval ratings). She would be a terrible presidential candidate now. \n\nThe only other figure i could see the democrats fielding is Buttigieg, I personally like him and i think he is an incredibly gifted orator but he comes off as somehow geeky and robotic at times. Hadnt burnt himself in the last primaries Beto could be a good contender, and maybe Warren although age is an issue with her and she is too progressive for the US. \n\nRepublicans will field either DeSantis or Trump, I dont see any other viable options']"
3,531,3_documents_investigation_classified_fbi,"['documents', 'investigation', 'classified', 'fbi', 'charges', 'evidence', 'president', 'case', 'mueller', 'doj']","['How exactly are classified national security documents ""his own presidential records"" after he\'s not President anymore?\n\nYou genuinely think every other President has stolen documents, stonewalled the FBI, sold documents to other countries and likely gotten U.S. intelligence agents killed?\n\nReally?', ""Indicted by who? For what? Based on what evidence? Who do you think was able to even begin to conduct a proper investigation when he was president? How long do you think it takes the FBI to complete an investigation? Did you know that this only one part of the single largest investigation in FBI history? The amount of witnesses, material, man-hours, it dwarfs everything in the agency's entire history. You could be right, if there isn't evidence of a crime then he won't be indicted. But an ex-president has never been indicted in this country. They also have never had an FBI raid conducted on their home. One of those two things has now happened. We'll have to see if the other does, but just because it hasn't happened yet doesn't mean it won't."", ""The reason why Trump is in hot water about the classified documents is because he and his staff repeatedly *lied* about having the documents and about having turned over all the documents. If Trump had just accidentally stuffed some classified documents in with his personal files and then turned them over as soon as it was pointed out then it would be a non-issue. Instead he lead the national archives and the FBI around by the nose for *months* despite having classified material in his own *desk* at Mar-a-Lago, never mind his staff being caught on camera moving boxes of documents out of the 'secure' room when the feds first came to collect the documents he did admit to having.""]"
4,508,4_russia_ukraine_putin_nato,"['russia', 'ukraine', 'putin', 'nato', 'russian', 'war', 'nuclear', 'would', 'nukes', 'military']","['I think it is extremely unlikely that there will be even a limited strike against military targets unless the Russian strike looks intentional.  I ***highly*** doubt that the strike was intentional.  A single small strike against Poland that achieves literally no objective other than giving NATO a casus belli to enter the war is such a stupid idea that not even the Russians dumb as dirt commanders would float the idea.\n\nRussia\'s goals in Ukraine have changed over time as Ukraine has denied them one objective after another.  One goal that has been absolutely consistent for Russia though is to, whatever they do, not get NATO involved.  In fact, keeping NATO from getting involved is the absolute highest priority for the completely obvious reason that Russia\'s military would be destroyed if NATO joined, and their only recourse would be nukes.\n\nRussia almost certainly didn\'t attack Poland intentionally, and as a result, NATO will almost certainly not escalate in a violent manner.  NATO ""escalation"" for this incident will be NATO supplying Ukraine with more weapons of the type that they want.  NATO might use this as an excuse to hand over some weapons that they had previously holding back on, but that\'s pretty much the extent of the retaliation I\'d expect.', ""&gt; We couldn’t just devastate Russia’s military and economy in a conventional war and expect them to not use nukes.\n\nOf course you can. NATO is strong enough to fight the war entirely on defence—destroy Russian assets in Ukraine, without any escalation against Russia proper. \n\nThe Soviet Union lost in Afghanistan, badly... they didn't turn to nukes. Putin may try and portray himself as a crazy man with his finger on the button, but that isn't what he is. Once he opens the nuclear box, Russia as a nation is effectively doomed. Even their supporters will turn on them, China and India will cut them off, because **no one wants that box open.** Their invasion of Ukraine would end in humiliating destruction by an enemy they have spent years acting like they could threaten at will. \n\nRussia is not suicidal. If they're not invaded, they will not choose to destroy everything in order to avoid losing Ukraine. The Russian nation might survive a loss in Ukraine—it would absolutely not survive a nuclear exchange with the west."", ""&gt;Reading the BBC report today that about 75% of Russian adults over 40 years old support the war and the number is only 62% for those under 40, regardless Putin has no incentive to stop the war because he maintains the broad support of his people. Russia has subjected its people to horrible conditions for generations, and so despite sanctions, it doesn't really change much for the ordinary Russian people.\n\nPolling in Russia is difficult, due to the authoritarian state. Which is not to say that people don't support the war, but it's hard to know how many and how fervently. \n\nSuffice to say, Putin doesn't have to worry too much about the people at home and how they feel about him and the war.\n\nThe only way this war stops is if either Putin/Russia choose to withdraw, or are forced to through superior arms. \n\nWithout escalating to something like nuclear attacks on Ukraine, it doesn't seem like Russia has the capability to actually win at this point. And even that is suspect - the US has made it clear they would respond to nuclear weapons in Ukraine with overwhelming conventional force such that Russia deploying nukes would lead to a rapid loss, rather than any gains.\n\nThe fastest way to stop this war is to give Ukraine the weapons they need to retake and defend all of their territory, including Crimea. Holding back is just going to make the war drag on longer because Ukraine certainly won't surrender, they've made that clear, and Russia shows no signs of giving up""]"
5,385,5_vote_bernie_joe_election,"['vote', 'bernie', 'joe', 'election', 'president', 'poll', 'would', 'voters', 'votes', 'going']","['Bernie already lost.\n\nAnyone from the squad is an immediate no, I say that as someone with lots of friends/family who are center left, center right. Not one of them would vote for one of them as they’re too far left.\n\nBiden is the perfect middle ground candidate. \n\nNewsom, Fetterman, and Jeffries, are the likely the next candidates. Pending on this next election, and how far back we go against gay/civil rights Buttigieg could be there but likely not until we’re two terms at least away from this maga nonsense. \n\nKatie porter is a bright start who I would happily vote for, but she’s not ready this election as she’s too against corporate interests and the media would destroy her. Potentially in 2028 though.', ""So it's hard to say. Both options will have a negative effect. Putting somebody in President Biden's place shows that the party doesn't have faith in their own candidate, effectively revokes the incumbency advantage, and effectively admits that the last 4 years were not positive therefore playing into GOP talking points which will already be attacking Biden's entire term (plus Obama's). On the other hand, keeping Biden isn't necessarily good either: his approval rating is not good, he failed to pass many legislative measures (doesn't matter the circumstances, voters don't care), and many acts did not result in the wave of support they expected. In other words yes, it's the GOP's race to lose. Remember: 2020 was an election against President Trump, it was not a pro Biden / pro DNC election. You didn't see people energized for Biden, they were energized against Trump. But all things considered the GOP did decently in 2021 without Trump in the picture, and if they do well in 2022 it will show that, perhaps, Trump weighed down the party in the long term (despite being a strong unifying force in the beginning)."", 'Two factors that I don\'t thing get mentioned enough...\n\n* **Joe Biden is not a strong communicator:** He\'s known for empathy, but not for inspiration or influence and it\'s a big problem for the Dems as he is the leader and face of their party. Messaging is not just a key campaign skill. It\'s an ongoing job requirement.\n* **Joe Biden doesn\'t really have a ""base"":** The 2020 election was ultimately a referendum on Trump. Rather than the country voting for Joe Biden and his agenda, they mostly voted for or against Trump. Biden was just the reasonable alternative. So, unlike most presidents, Biden doesn\'t have a passionate fan club which is critical, especially in an era of social media. Jen Psaki is the only person out there making the case for him and his party. He doesn\'t have an army of loyal followers spreading his message and defending the attacks. It also means that the Dems can\'t ride his coattails in state and local races.\n\nI actually think he\'s doing a reasonable job so far, but I would argue that with the exact same results we\'ve seen over the past year, a more attention-grabbing communicator with a larger base like Trump, Obama, Clinton, or Reagan would have an approval rating 10-15 points higher and their party would be much more confident about the mid-terms.']"
6,372,6_abortion_roe_abortions_life,"['abortion', 'roe', 'abortions', 'life', 'women', 'pro', 'ban', 'states', 'wade', 'rights']","[""It's not the extreme laws, it's that most people think abortion should be legal. The fact that Republicans obviously want to ban abortion nationally, but don't have the support to do it, is a great reason for the pro-choice majority to defeat Republicans at the polls."", ""&gt; You realise that abortion was legal in many states prior to Roe v Wade\n\n[Wrong.](https://en.wikipedia.org/wiki/File:Map_of_US_abortion_laws_pre-1973.svg)\n\nBefore *Roe v. Wade* was decided, abortion was illegal in 30 states. It was legal only in specific circumstances (e.g. rape, incest, danger to mother's health) in 16 states. Only 4 states had abortion legal on request. For most of the country, abortion was illegal or mostly illegal pre-*Roe*."", "">Why do you mention what the mainstream wants if you don’t care what the mainstream wants? Do you think Democrats should set the timeframe with what the majority wants?\n\nThe majority wants Roe v. Wade codified. Democrats believe that access to abortion should be guaranteed, not between a doctor, a patient, and the government as Oz famously said.\n\n>Just because you don’t agree with the timeframe doesn’t make it a ban. \n\nIt is a ban lol. If you can't know something doesn't happen until after the ban point, its a ban.\n\n>It’s great seeing you support Democrats hiding their true stance so voters don’t know how extreme they are. Good stuff. \n\nLol dude, Republicans are the ones passing abortion bans and making them look like radicals. \n\nWhen your opponent is making a mistake, leave them alone. \n\n>Republicans aren’t trying to pass any kind of national abortion ban. Democrats did try to push a national abortion rights bill far outside the mainstream. \n\nhttps://www.pbs.org/newshour/politics/house-republicans-use-new-majority-to-approve-anti-abortion-measures\n\nBuddy I hate to tell you this (not really) but Republicans are absolutely trying to cut women's rights further.\n\n>Democrats nationally are far out of step with the US and the world on abortion.\n\nIs that why the people trust Dems more on abortion? Is that why people are punishing anti-choice Republicans? My dude, you're very behind the times.""]"
7,326,7_gun_guns_control_shooting,"['gun', 'guns', 'control', 'shooting', 'mass', 'laws', 'firearms', 'weapons', 'militia', 'carry']","[""You missed the point there. Democrats don't establish real gun control laws that would take away guns. They just create shitty feel good laws that don't have any real affect on guns. Banning certain guns just because they look scary is not effective gun control.\n\nIf and when the US is willing to give up the second amendment, they can push for abolishing guns, but until then, it's a waste of time."", 'Disclaimer: I support gun control, hate gun culture and everything it represents, including libertarianism, toxic masculinity, hyper-individualism, and jingoistic nationalism.\n\nHowever, I have to note that strong polling support for gun control over gun proliferation may not matter. It will always be politically easier to side with gun proliferation than gun control. Almost nobody who supports gun control will be willing to change their vote based on this one issue, while a non-insignificant number of gun supporters will change their vote based on this issue. ""They\'re coming to take our guns"" political ads are played for this reason. 538 has noted this effect, and called gun control support ""broad but shallow"", while gun proliferation support ""narrow but deep"".\n\nFor gun control supporters, their idea is a set of data, numbers, and context about what policy is better, and fairly abstract at that. They don\'t think about it too much in their daily lives. For gun proliferation supporters, however, a gun is a physical thing that they can hold in their hands, and the image of someone taking it away is a powerful political message that cannot be defeated by any stats that show Australians are much less likely to die from guns than Americans.\n\nI am curious to see if any gun proliferation supporters will agree with this analysis.', ""You say this as if Democrats who own guns would be against further gun control laws, when the data just doesn't support that.""]"
8,321,8_trans_gay_gender_lgbt,"['trans', 'gay', 'gender', 'lgbt', 'sex', 'kids', 'transgender', 'children', 'sports', 'child']","['Agreed. I think people should be more precise with their language. It’s not uncommon to hear people say they don’t believe trans people should be able to play in competitive sports, when their actual belief is that trans men should be allowed, but not trans women.', 'That doesn\'t provide reason to ban gender affirming care. ""We don\'t really know"" ends up being an argument that cannot be proven false and is repeated indefinitely with moved goalposts. When transitioning and gender affirming care saves lives, it is cruel and unreasonable to cut off people who seek it and are already receiving it.\n\nHere\'s a funny thing: so many of the trans people who did transition after 2016 did so then not because they applied and were rejected, but because they didn\'t know they could get gender affirming care or that their feelings were gender dysphoria. ""Ah, all people dream of being the opposite sex!"" ""Most of them don\'t"" ""wait what"" *egg cracking noises. later:* ""Oh, THAT was dysphoria?""  \n\n\nI started transitioning in 2018/2019, but it\'s not like my dysphoria just cropped up around that time. I looked back over the 26 years I had lived, and realized I had been feeling dysphoria since a young age, and especially since puberty. Why didn\'t I transition in my teen years? Because even though I hated being a guy and thought girls had to so much better, I didn\'t think hormone replacement therapy could make me pass as a woman. It does (along with voice training and other things I\'ve done). Heck, I remember therapists, friends, and even a teacher or two asking me if I was trans; I denied it because deep down I feared I couldn\'t pass.', 'I know a few gay men who have started expressing anti-trans sentiments because ""trans people and gay people aren\'t the same and this focus on trans people is causing harm to gay rights""\n\nI, myself a gay man, take this opportunity to point out that our struggles - to live freely and legally as ourselves in a hostile society - are exactly the same']"
9,308,9_white_racism_asian_black,"['white', 'racism', 'asian', 'black', 'racist', 'asians', 'racial', 'affirmative', 'race', 'speech']","['This guy is at the point where he’s counting white people in ads to prove he’s not represented enough. And not just white people, but white *families*. Because the white man with an Asian wife didn’t count…for some reason?\n\nI don’t think he’s going to be able to have a good faith discussion on this topic.', '\nSpeaking as an Asian American, Asian vote is pretty simple:\n\n- First generation Asian Americans are big on 2 things: crime and education. They are apathetic/fatalistic about pretty much everything else. But if you fail to protect the neighborhood from crime or mess with merit-based academic systems, they will become politically active. The focus on crime is self explanatory (Asians are seen as easy targets for crime, the community is built around local small businesses that need protection, and people stabbing grandma is NOT cool). The focus on academics is because  it is seen as the only way to advance in society - poor parents would literally go hungry to get their kid extra tutoring. You mess with either one, the community will turn hard on you.\n\n- Subsequent generations of Asian Americans, especially the college-educated, skew liberal. But less strongly because people generally do not believe that either party cares much about Asians.\n\n- Also, most Asians are anti-war, given that many families ended up in America after fleeing war. They did not support the Iraq war and all the war hungry talk regarding China in the last few years is highly unpopular.', '>The court determined that diversity can be archived in schools without the need for affirmative action and consideration of race is not necessary.\n\nCalifornia banned Affirmative Action years ago, and racial disparities in their higher education admittances only increased.  So this is definitely false information, the court is very wrong here.\n\n> Can this heal some racial divides that has fueled racial tensions in admissions which considered race a factor?\n\nThe opposite is true.  This will increase racial bias in college admittance which will disadvantage black and latino applicants especially.\n\n>societies should aim to be color-blind.\n\n[Colorblind racism is still racism.](https://www.theatlantic.com/politics/archive/2015/09/color-blindness-is-counterproductive/405037/)\n\n>Many sociologists, though, are extremely critical of color blindness as an ideology. They argue that as the mechanisms that reproduce racial inequality have become more covert and obscure than they were during the era of open, legal segregation, the language of explicit racism has given way to a discourse of color blindness. But they fear that the refusal to take public note of race actually allows people to ignore manifestations of persistent discrimination.']"
10,255,10_court_scotus_supreme_judges,"['court', 'scotus', 'supreme', 'judges', 'justices', 'judge', 'courts', 'case', 'ruling', 'law']","['I mean, I hate the nonsense Trump and McConnell pulled with the Supreme Court, but this should have been obvious a long time ago.\n\nAlito and Thomas are the ideological conservatives on the SC. Kavanaugh, Barrett, Roberts, and Gorsuch have broken with ""their side"" in multiple rulings. Roberts does it often. Kavanaugh and Barrett may be more driven by ideology than Roberts and Gorsuch, but they\'ve all made surprising decisions several times since putting on the robes. I\'ve been particularly impressed by Gorsuch - I expected him to be a hardline conservative judge when he first took the bench, but he has defied those expectations a number of times.\n\nI\'m not saying the Supreme Court is perfect, but the Supreme Court\'s politics don\'t always mirror those of Congress or even the President who put those individual justices on the bench.', 'I think the Supreme Court sounds like they will reject the theory for at least three reasons. 1) Trump-nominated Justices don\'t *have* to do anything for anyone other than themselves. They have the job for life. 2) It would take power away from the courts which would affect the U.S. Supreme Court as well. 3) One or two of the three skeptical Justices seemed like they wanted to say, ""Are you insane? No.""', 'Unfortunately no, they work in sessions and must give out a ruling (it’s a 3 judge panel) so it’s not subject to things like mistrials that happen during regular litigation that can prolong the cases. \n\nAlso the people that want to challenge previews Supreme Court rulings are doing so by passing laws at the state level that they know go against a Supreme Court precedent, then someone sues questioning how constitutional that law is, since it’s a challenge to federal law the circuit court decides, if the circuit says the law is unconstitutional (because it goes against the supreme courts precedent) then  it can submitted for the SCOTUS to review (SCOTUS also has the freedom to choose what cases they hear) and then they can *literally* change their ruling to make that once unconstitutional state law “constitutional”.']"
11,247,11_afghanistan_iraq_us_taliban,"['afghanistan', 'iraq', 'us', 'taliban', 'war', 'iran', 'military', 'afghan', 'would', 'world']","[""No matter who was President after 9/11, we would have gone into Afghanistan. Now, if Gore won, I don't think we would have made the foreign policy disaster of going into Iraq."", ""&gt;we don't oppose the Taliban's return to power if they also uphold an agreement to not let AQ, \n\nTwo flaws. The Taliban absolutely wouldn't uphold that and exploitedly doesn't want to since the US just can't stop them. The Taliban have done something no other country has successfully done, they got BIGGER and richer while fighting the US. They don't have to fear the US Grim Reaper because the reaper malfunctions. Combined with them not loving the US at all (anyone actually shocked?) and they have zero reason to care.\n\nThe seconf flaw is that controlling Afghanistan is not like controlling the US or UK. Just because Kabul says to do something doesn't mean they all do it. Instead, Afghanistan is best controlled by getting local strongman go align with you and having them handle affairs, the Taliban briefly had a lot of control but most of Afghan existence is warlord. Like Pakistan north really.\n\nThis last point critical because a lot of those warlords turned on the Taliban to help the US and the Taliban gonna remember that little bit, but I'm not sure the Taliban has the resources to stop them..yet. Either way, the locals the US just sold out might not be overly enthused about being sold out."", ""I feel like people conflate iraq and Afghanistan.\n\nThe entire country was united against Afghanistan, it wasn't a Republican war, nor was there a propaganda machine to push us to war. We got attacked by someone being protected by Afghanistan. Pretty much the whole world was united behind America at that point""]"
