Topic,Count,Name,Representation,Representative_Docs
-1,6698,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'it', 'is', 'for', 'they']","[""Honestly, the apocalyptic talk about Republicans' generational prospects is ridiculous.\n\nThere will always be cross pressure between the fact that people want as much for themselves as possible.\n\nThe real reason millennials are so left leaning is as simple as it is glaring - the GOP positions on basically anything don't offer a damn thing to them.\n\nStudent loans? Climate? Even tax cuts for people that are disproportionately likely to be in their circumstances?\n\nNothing.\n\nAll the GOP has to do is nominate their own version of Bill Clinton and moderate on a handful of things and they'd be fine \n\nBut they haven't demonstrated any interest in doing so.\n\nEvery 40 years or so, there is a political shift generationally as the policies promoted by the incumbent political reality become irrelevant and useless to the younger ones.\n\nHoover gave way to FDR, Carter gave way to Reagan, Bush and Trump to Obama/Biden and whoever else.\n\nThere is no reason to believe the GOP can't win today if it moderates a bit nor is there any reason to believe there won't be another right turn in 40 years now."", '100% convinced he wants to run in 2020, realized he couldnt win this time and just doing it for the free press, increasing his name recognition and the free food.\n\nHe is counting on Trump losing so horribly bad in the GE that voters will go towards the middle. Plus, who is going to run again in 2020? Ryan will have a lot of baggage after his years as speaker and Hailey isnt that much of a candidate.\n\nI mean, did somebody knew who John Kasich was before febraury? \n\nThe man has been a competent politician his whole life winning really tough races more than once. in 2011 he was the most unpopular governor of the country and in 2014 he got re-elected with 2/3 of the vote. Do you really believe Kasich has been unable to raise more funds than Christie or Walker that dropped out months ago?\n\nI am convinced that every thing he has done on the last 2 months was to position himself to be the 2020 frontrunner.\n\nI mean, he needs two things. The first one is that Trump wins the nomination. The second one is that he gets destroyed by HRC.\n\nI mean he could be having a little hope to be chosen by the convention but he would have a much better shot at winning the GE at 2020 than now.\n', 'Couple of things to note, here: \n\nOne: The margin it passed by in congress is relatively meaningless. This was a strategic vote, done so in a way to protect as many vulnerable Republicans as possible. Note that there are way more congressmen that voted against the AHCA that are in competitive districts than aren\'t. Many of these districts even voted for Clinton in 2016. They\'re protecting their seats and nothing more. It wouldn\'t have gone up for a vote if the GOP knew they didn\'t have the votes for it in the first place, which is exactly why the initial bill prior to the amendments did not.\n\nTwo: The senate might make major changes... they might not. That is yet to be seen. But more amendments (or a completely different plan entirely) doesn\'t mean that this legislation is dead. \n\nIt\'s May. We\'ve got a lonnnnng ways to go in the 115th session. Remember that the ACA wasn\'t passed until about this time in the second year of the 111th. There is still plenty of time for back and forth on healthcare. \n\nLastly, I don\'t think the the House is going to be as resistant to more moderate changes as people are saying. Legislators now have their names tied to this- Freedom Caucus members don\'t want to have to go back to their constituents in 5 months and explain to them why they refused to pass the ""Obamacare Repeal"" bill. Some might fight it, but going by the current ""nay"" votes, there are way more moderates to be won than there are hardcore conservatives to lose.']"
0,1934,0_the_to_and_they,"['the', 'to', 'and', 'they', 'of', 'that', 'you', 'it', 'is', 'are']","[""I'm a Democrat but there's some Republicans I like.  \n  \nOne could say there's an issue I'm a single issue voter on, and that's on politicians that show an interest in governing.  Being open to debate, presenting a case to the voters, and knowing the process.  Those things matter to me.  Trump never did any of that, and while I didn't vote for Romney, I did vote for Bush, and there are Republicans that I would give a fair hearing to right now.  \n  \nBut anyone in the Tea Party/MAGA camp I just can't listen to, because they have absolutely zero interest in actually fulfilling the role they're elected to.  Someone like Hillary, who is certainly controversial, if nothing else, actually is interested in policy and governing and I think that makes her worth considering even when you disagree on the policy, because the alternative is to vote against a continuance of government (assuming of course, the other person/party simply has zero interest in governing)"", ""&gt; reorient voters priorities\n\nSee this right here...this is the real reason why they will fail.\n\nOur elected representatives are supposed to represent us. They're not supposed to set priorities for voters, they're supposed to find out what their voters want them to prioritize and then address those issues.\n\nIt couldn't be more clear by even June of last year that the January 6th stuff was not what voters cared about. The far left cared about massive expansions of government and seeing as they didn't get that they are pissy. They lost moderates when they messed up bipartisanship, the Afghan exit and the economy. The right despises every bit of their virtue signaling social agenda so that wasn't going to win them any votes there.\n\nI have never seen a political party so absolutely rudderless. Everything they have done in the past year and a half has turned to utter shit. Biden now polls worse than Trump. \n\nThey are pivoting to the January 6th stuff because they literally have nothing else. How someone blew all of their political capital one year in and burned all bridges and now can only say 'well at least I'm not Trump' is absolutely unbelievable. Biden is on track to go down as one of the most incompetent presidents ever.\n\nHonestly he should be glad Russia attacked Ukraine, it seems to be the only thing people think he's doing well enough at. Everything else is garbage."", ""But what about checks and balances? Also voters just expecting to vote for someone that will be able to perfectly enact all of their policy proposals is unreasonable and unrealistic politicians aren't any less likely to lie in a parliamentary system and having the executive branch effectively have oversight over the legislative branch creates a massive problem with conflict of interest\n\nThe other thing is lots of times to be quite frank the voters don't even know what they want because in every pole there's consistently a large majority of people that want to simultaneously lower taxes increase spending and balance the budget and it's kind of obvious you can do two out of three but not all three and any political system in which the population is an educated enough to understand that fact we'll have the problems our system is regardless of whether it's parliamentary or presidential\n\nWith all that said I wouldn't be opposed to a state trying it as it could be a useful experiment in democracy but to me the far more important issue is getting rid of first-past-the-post so we could actually have a true multi-party democracy where you don't vote for the lesser of two evils""]"
1,965,1_he_his_trump_him,"['he', 'his', 'trump', 'him', 'the', 'to', 'and', 'of', 'that', 'in']","['No. Despite the bad news, the Republican establishment still want his voters. But his voters are loyal to Trump, even with all the indictments and Trump pledging to run from a jail cell. So, because of this, Trump still has all the power. And even if the Republican establishment got their wish and he decided to no longer seek the GOP nomination, he could very easily go third party overnight with the aim of creating a schism in the Republican Party. Libertarian Party could take him in. The People’s Party could take him in, as they’d gain nationwide ballot access faster with him than other candidates.  He could resurrect the Reform Party. He could even start his own party from the ground up. \n\nDon’t forget there’s still an audience out there that is desperate for a strong third-party candidate. I would not be surprised if some of them are desperate enough for such a candidate that they’d tolerate Trump. Trump just knows how to continually live rent free in other people’s heads.', 'I always argue that Trump could have very well won *if he had just shut the hell up and let the experts work during the pandemic.* If he had just let them do their things he could have easily cinched a 2020 win and we would have seen him in a second term. It was even the best setup because his administration approved sending stimulus checks to everyone. It could have been an easy win-win.\n\nBut no, he had to put the attention on himself at all times. He had to keep contradicting his experts because he wanted to make sure he was the one telling people what to do. He had to make it all about himself.', 'IMO Trump’s goal is not to be president again, at least that is not the direct goal. He does not want to finish what started. He does not want to help Americans. He wants to undo his loss in 2020, which will result in him being president again.\n\nHe cannot accept that he lost in 2020. His ego does not allow it. He has to stay who he is, otherwise victory will just be victory, not an undoing of his loss.\n\nIt’s quite literally the definition of insanity. Trump wants to do the same thing he did in 2016 and in 2020, but expects a different result. He wants to be himself. He does not want to adapt. He wants to bludgeon the country into submission to him, not adapt to suit the political climate.\n\nTrump is built on the notion that his instincts are always right, that he does not need to learn or adapt or rethink. He cannot abandon that.']"
2,695,2_the_to_it_that,"['the', 'to', 'it', 'that', 'tax', 'and', 'of', 'they', 'is', 'for']","[""&gt; high tax brackets (over $1 million per year, for example) pay a higher tax rate?\n\nWell first off, there isn't such a tax bracket. The highest single filing is around $500k.\n\nSecondly, most people making that kind of money are getting it in the form of stocks, which means now we are dealing with Capital Gains taxes not Income taxes, which messing with that has negative impacts on retirees, general investment flow, as well as other unforeseen consequences. \n\nThe other problem is that typically DEM policies say they want to target Millionaires, but they typically always end up also hitting the brackets that go from $85k-200k, in order to generate the needed revenue for their big projects/plans. These are typically the tax brackets that always get screwed over every time there's a policy change in the other direction, which is where the bulk of your middle class income resides and that range typically always has the cut off for any kind of benefit. Just look at the stimulus cut offs."", ""Yeah, I'd argue its low wages, not the stimulus. Companies have been complaining about not having enough workers since 2013 or so. The companies doing the complaining are low wage jobs like service jobs, retail and logistics. I guarantee if they raised wages they could get more workers in no problem. The thing is, companies don't wanna do that because it means those at the very top would have a little less in the short term even though its been shown keeping high wages is good for a company in the long term as it keeps turn over low. People who got layed off from their low wage job have had time away from it to realize how unfairly they were being treated and either look for better work or maybe even go back to school. Maybe the goal should not be to create a world where people need to work a dead end, low paying job to survive, but to make one where companies actually have to compete for workers by offering quality wages and benefits."", 'When the Fair Labor Standards Act, which established the first minimum wage in the US, passed in 1938 FDR famously said: \n\n&gt;""In my Inaugural I laid down the simple proposition that nobody is going to starve in this country. It seems to me to be equally plain that no business which depends for existence on paying less than living wages to its workers has any right to continue in this country.\n\n&gt;By business I mean the whole of commerce as well as the whole of industry; by workers I mean all workers, the white collar class as well as the men in overalls; and by living wages I mean more than a bare subsistence level-I mean the wages of decent living.""\n\nA job not paying enough to make an honest living off of is not a natural consequence of capitalism, and indeed if you read John Adams and other original theorists they would be aghast at the idea of something like wage slavery. The current situation is the result of conscious decisions and the conscious exercise of political power by the wealthy to protect their interests. If you getting a hamburger in two minutes from your car is important enough to pay someone to do, it\'s important enough to pay them a living wage to do it. Even if they\'re a kid. Even if they\'re living with parents. Even if they have roommates. Your right to save less than a dollar on consumer goods is not greater than the right of employees to food and shelter.']"
3,629,3_he_the_trump_to,"['he', 'the', 'trump', 'to', 'that', 'of', 'it', 'documents', 'and', 'is']","[""Apparently the search has to do with 15 boxes of classified documents that he took with him when he left office.  I think this story has been flying under the radar (this is the first I've heard of it), but it's been developing since at least February apparently.  \n\nGood news for trump haters, this case should be pretty cut and dry.  Did he have those documents? Yes.  Was he supposed to? No.  A quick Google tells me that this is punishable by up to five years jail time, but I wouldn't hold my breath for that.  \n\nThis case has no direct link to Jan 6, but any evidence that they just seized can absolutely be used in that case if relevant."", 'There is no legitimate claim that this is politicizing justice. That is just an attempt to give Trump cover. \n\nTrump had 5 years to learn the rules around classified data. He acted like he was an expert when he talked about locking Hillary Clinton up. So that makes him taking them at all unacceptable. \n\nThen, when the archivists ask for them back, he ignores them. They subpoena, he gives them half of it. They continue discussions and send formal rehear letters, which he ignores. They took every step to do this low key, and Trump obstructed. \n\nEven when they did execute a warrant, they did it early morning, and when Trump wasn’t there. They made it as low key as possible, until Trump started sending out messages. \n\nIf someone wanted to politicize this, they would not have given so many opportunities to keep it relatively quiet. He literally broke a law that he specifically increased penalties for. He made his own actions a felony. This is just what justice looks like, and politics doesn’t play a part. \n\nI think people need to look at how disingenuous the argument from the right is, and I hope it changes their perspective.', 'This warrant was very strict in what they had to prove to obtain it. You need to specify the crime, the exact evidence you are looking for, and prove that the evidence is currently where you want to raid. Do you genuinely think that somehow the FBI fabricated all of that, that not a single conservative FBI agent noticed, and that Trump appointee Christopher Wray signed off on it all? Law enforcement lies but not nearly like this. It would be an entirely new kind of lie for them to tell and somehow a giant network of them would have had to pull this off in secret on their first try. \n\nThat is so much less likely than Trump having especially sensitive documents among the 15 boxes of classified documents he himself has said he has had for months.']"
4,534,4_she_her_the_and,"['she', 'her', 'the', 'and', 'to', 'in', 'of', 'is', 'was', 'for']","[""The common knowledge is that she'd be President right now if Obama hadn't come from behind and done a Ninja Scroll on her campaign.\n\nI mean, i'm not going to go step by step through her CV or anything, but the lady's put in the requisite work on all levels to get the office.\n\nAs to her speechgiving? Ah, she's serviceable. No better or no worse than a lot of people who stand in front of microphones. She's got a lot of her husband's touches in the writing of the speeches, but she is nowhere near him on delivery.\n\nHonestly, the GOP has nobody coming that can really stand up against her on any level. She's been through the battles and won the wars, a lot. It'll really show come debate time. A lot of these really right wing tea party candidates are going to get their butts handed to them on stage. \n\nAnd worse? I don't think people remember enough the utter wickedness of her campaign in the primaries vs. Obama. I don't think that whoever makes alive it out of the GOP meatgrinder is going to be totally ready for the straight-razor throat slashing that's coming their way. \n\nHer campaign teams are nasty with their ground game, and add in Obama's prior crew that had him light the internet on fire, and it's going to take a special Republican to take her down.\n\nAnd that ignores the gender card, which she can throw skillfully and with precise timing.\n\nAll that added together is a pretty high mountain to climb, honestly."", 'I’m surprised to not see Katie Porter mentioned anywhere yet.  She’s young and falls on the economically progressive side of the spectrum.  She’s won in a purple district.  She’s pretty popular with everyone who’s heard of her.  It’s likely because she’s only in the house.\n\nBut if she wins the CA senate seat then I would definitely expect more from her.  She’s like a younger Elizabeth Warren.', 'Personally I think she could, but she falls into the same camp as Clinton. She has far less negative press around her, but she comes off a bit as an out of touch middle aged woman who doesn\'t have great charisma. That being said, Clinton won the popular vote and was 90-100k votes away in the midwest from winning the presidency, and Klobuchar would be operating and focusing on a region she has direct ties to. \n\nIn theory that means she will be at an advantage in the ""Blue Wall"" that is required to win. But, I think while she might be able to win the presidency, I would be shocked to see her outperform Biden in states won. I don\'t see her winning Georgia, Arizona is probably 50/50, and I can\'t see her flipping NC, Florida, or Ohio. Her only path is basically through those midwestern states and holding onto NC, Maine, and probably Nevada for some cushion room, making it a very tight map. If you assume the above map, she\'s probably getting 276-288 electoral votes which is a very thin margin.']"
5,499,5_russia_ukraine_nato_putin,"['russia', 'ukraine', 'nato', 'putin', 'russian', 'the', 'to', 'of', 'and', 'war']","[""Europe is absolutely fine with that, and in fact most of Europe is part of NATO right now.   They aren't fine with Russia trying to reestablish it's post-collapse borders and dominate Eastern Europe like it did for 50 years.    That's the path to WWIII.   Europe will not allow that.  \n\n\nAnd what's quite clear is that Russia is the worst corrupt regime in Europe.  The oligarchs have been stealing everything that isn't nailed down for decades now.  That's why the Russian military is so underprepared and so many of it's weapon systems are mirages.   This is how Putin came to power and was fine with it until it hurt his empire building - now he's having the people who have done these things murdered, not the least of which were the head of their largest tank manufacturer and their aerospace complex.  \n\n\nRussia has committed genocide in Ukraine before.   In the Holodomor, then a cultural genocide by banning Ukrainian in schools and deporting millions from Crimea and sending in ethnic Russians to replace them.    What did they do in 2019?  They withdrew from the Geneva Convention on the Treatment of Civilians in a War Zone.   They knew they were planning on doing it again.  \n\n\nThis both sides nonsense is ridiculous.   There'd be no war in Ukraine if Russia wasn't invading.   Saying that we should force peace so Russia gets to keep it's ill gotten gains now that they aren't winning is just supporting militarism and fascism."", 'I think it is extremely unlikely that there will be even a limited strike against military targets unless the Russian strike looks intentional.  I ***highly*** doubt that the strike was intentional.  A single small strike against Poland that achieves literally no objective other than giving NATO a casus belli to enter the war is such a stupid idea that not even the Russians dumb as dirt commanders would float the idea.\n\nRussia\'s goals in Ukraine have changed over time as Ukraine has denied them one objective after another.  One goal that has been absolutely consistent for Russia though is to, whatever they do, not get NATO involved.  In fact, keeping NATO from getting involved is the absolute highest priority for the completely obvious reason that Russia\'s military would be destroyed if NATO joined, and their only recourse would be nukes.\n\nRussia almost certainly didn\'t attack Poland intentionally, and as a result, NATO will almost certainly not escalate in a violent manner.  NATO ""escalation"" for this incident will be NATO supplying Ukraine with more weapons of the type that they want.  NATO might use this as an excuse to hand over some weapons that they had previously holding back on, but that\'s pretty much the extent of the retaliation I\'d expect.', ""I doubt even that would have been enough for Putin. Ukraine would still be creating closer economic ties with the west, even if it was prevented from joining the EU. It would still develop into a competitor to Russia in the sale of oil and gas, and given that they also charge Russia for pipelines through their country it could undercut at least a part of their supply at will. It would still be able to toss out any leader that is too pro-Russia like it did in 2014 and throw out any agreement with Russia they made as well. It would still control the water supply to Crimea as long as it controlled the territory between Crimea and the Dniper river. It would still cut Crimea off from Russia by land leaving only a single bridge that could be destroyed as Crimea's sole connection to Russia.\n\nRussia isn't going to stop until it can control these things or make them irrelevant. I guarantee that Putin will not stop this war until they control at least everything between Russia and Crimea, as well as everything between Crimea and the Dnieper in the south. I also expect that they want to take the rest of the coastline of Ukraine to further deprive them of Black Sea oil and gas fields as well as establish a Russian border with Transnistria, but Russia isn't doing so well militarily already and a siege of Odessa might have fallen out of favor by now.""]"
6,424,6_state_the_states_of,"['state', 'the', 'states', 'of', 'in', 'to', 'blue', 'and', 'is', 'it']","['I would say, if you are gonna move, try and move to a place where you can better influence the vote. Either a more purple or light blue district, or if you are in Georgia, to another purple or light blue state. I don’t blame people for leaving red states, but we cannot keep ceding grounds in purple states. And look if you must leave, I get it, especially if you are in MTG country. But I think many people don’t realize that blue states have crazy red parts and we are not gonna win by continuing to concentrate around 10 or so cities. And leaving crazy folks in charge of the US is not gonna be any better no matter where in the world you may run. It’s a hard truth, but I think we need to start making plans to move and take back the senate and House instead of leaving and letting the US potentially be controlled by people with nothing apparently holding them back.', 'It is true that gerrymandering is rampant, especially so in Red states. In my state of SC, for instance, Democrats reliably garner over 40% of the vote in Senate and presidential elections, but can really only compete for one house district out of eight. \n\nIf a non-partisan, technocratic route was possible, that would be an improvement. There are some good proposals for this, especially in some of the blue states. \n\nI still believe the larger problem is the unrepresentative measures built into American federalism. We have a deeply flawed democracy when a minority can consistently win control of government because of just how much outsized representation outsized rural states get, while DC and PR are not given representation for reasons that probably have more to do with sheer partisan advantage and racism than anything else.', ""Um, it's both? The population can usually have some amount of range but it has to fall within certain parameters. It changes as the population of the country changes, that's what the census is for. Each state is different but a lot of the states I have the districts drawn by the state legislature every 10 years. This usually leads them to brought themselves as many districts as possible, they find out which people don't support them and then they draw the districts around them. The goal being to put as many of your opponents into a district as possible. However, you're also not allowed to break up certain protected districts, particularly racial districts. If you have a large enough minority population you're supposed to get some level of fair representation under the Voting Rights Act, but the Republican courts don't always enforce it very well, especially since, with the exception of a few big headline cases, the Supreme Court has become almost exponentially more right-wing over the last 20 years, and it was only getting more right-wing before that. Increased polarization and politicization hasn't helped.""]"
7,379,7_abortion_roe_the_to,"['abortion', 'roe', 'the', 'to', 'that', 'of', 'it', 'is', 'life', 'in']","[""It's not the extreme laws, it's that most people think abortion should be legal. The fact that Republicans obviously want to ban abortion nationally, but don't have the support to do it, is a great reason for the pro-choice majority to defeat Republicans at the polls."", ""&gt;The media just doesn't like to highlight what Democrats actually think about abortion.  The literally voted to make abortion open until birth, \n\nI think the media has done a good job of conveying the Democratic stance.    \nDemocrats supported Roe v Wade - legal abortion until the point of fetal viability.   \n What media do you listen to that isn't?\n\nTo  the extent that some Dems support legal abortion post 24/8 week viability it was to allow for the tragedies off a nonviable fetus or when the life of the mother is at risk.  As for women just deciding they don't want to be pregnant anymore with a perfectly healthy fetus almost to term, they and their doctor can induce labor or schedule a Caesarian.  There aren't any Democrats I know of who are chill with aborting a healthy fetus near to term. \n\nIf you missed this, it was probably because you heard only sound bites taken out of context  and/or without the required nuance of an issue that is not and can never be as black and white as we would all be more comfortable with, or you were shown an extremist and were led to believe they spoke for more than themselves."", "">Why do you mention what the mainstream wants if you don’t care what the mainstream wants? Do you think Democrats should set the timeframe with what the majority wants?\n\nThe majority wants Roe v. Wade codified. Democrats believe that access to abortion should be guaranteed, not between a doctor, a patient, and the government as Oz famously said.\n\n>Just because you don’t agree with the timeframe doesn’t make it a ban. \n\nIt is a ban lol. If you can't know something doesn't happen until after the ban point, its a ban.\n\n>It’s great seeing you support Democrats hiding their true stance so voters don’t know how extreme they are. Good stuff. \n\nLol dude, Republicans are the ones passing abortion bans and making them look like radicals. \n\nWhen your opponent is making a mistake, leave them alone. \n\n>Republicans aren’t trying to pass any kind of national abortion ban. Democrats did try to push a national abortion rights bill far outside the mainstream. \n\nhttps://www.pbs.org/newshour/politics/house-republicans-use-new-majority-to-approve-anti-abortion-measures\n\nBuddy I hate to tell you this (not really) but Republicans are absolutely trying to cut women's rights further.\n\n>Democrats nationally are far out of step with the US and the world on abortion.\n\nIs that why the people trust Dems more on abortion? Is that why people are punishing anti-choice Republicans? My dude, you're very behind the times.""]"
8,325,8_trans_gay_that_is,"['trans', 'gay', 'that', 'is', 'gender', 'people', 'you', 'it', 'to', 'and']","['That doesn\'t provide reason to ban gender affirming care. ""We don\'t really know"" ends up being an argument that cannot be proven false and is repeated indefinitely with moved goalposts. When transitioning and gender affirming care saves lives, it is cruel and unreasonable to cut off people who seek it and are already receiving it.\n\nHere\'s a funny thing: so many of the trans people who did transition after 2016 did so then not because they applied and were rejected, but because they didn\'t know they could get gender affirming care or that their feelings were gender dysphoria. ""Ah, all people dream of being the opposite sex!"" ""Most of them don\'t"" ""wait what"" *egg cracking noises. later:* ""Oh, THAT was dysphoria?""  \n\n\nI started transitioning in 2018/2019, but it\'s not like my dysphoria just cropped up around that time. I looked back over the 26 years I had lived, and realized I had been feeling dysphoria since a young age, and especially since puberty. Why didn\'t I transition in my teen years? Because even though I hated being a guy and thought girls had to so much better, I didn\'t think hormone replacement therapy could make me pass as a woman. It does (along with voice training and other things I\'ve done). Heck, I remember therapists, friends, and even a teacher or two asking me if I was trans; I denied it because deep down I feared I couldn\'t pass.', 'I still don’t think that logic holds when you’re talking about tolerating or accepting gay people. All gay people want is to be left alone, that’s tolerance and acceptance. Nobody would be trying to make this distinction if we were talking about race, you’d just be called a racist if you said you didn’t think seeing black people was acceptable. Being gay is more equivalent to that than having a certain fetish.\n\nGay people being in movies is representation, it being discussed in schools is just to tell people that they exist and educate them on the struggles they’ve faced. Nobody ever killed anyone for wanting to be choked during sex. Pride Month exists for gay people to celebrate who they are because for so long just existing could get them killed or worse.\n\nSaying you don’t want to see that stuff is adjacent to denying reality because you don’t like it.', 'This is a lot of text to say ""it\'s not fair that people are calling the right bigoted for doing bigoted things.""\n\nSorry, I don\'t buy what you\'re selling. Like this:\n\n""Once again Republicans used evidence and common sense involving the protection of kids.""\n\nIs just you lying. Common sense and evidence would support allowing doctors, parents, and kids to make decisions regarding their healthcare, not banning it. \n\nYou are whining about ""dragging kids into it"" while ignoring that most puberty blockers, most gender affirming surgeries, most gender affirming care, is given to **cisgender** kids. You are defending the criminalization of behavior that is fine for one class (cisgender) and not for another (trans). \n\nYour view is not reasonable or moderate, it\'s bought into a a long line of untrue propaganda that you are uncritically spreading here.\n\n>The drag show thing is weird, I will have to look into it. That could be something the GOP is on the wrong side of.\n\nThat you are unaware of this is a demonstration of your ignorance on these issues and how the right is treating them. Maybe you should actually learn something about this before you accuse the left of hysteria. We aren\'t the ones passing unconstitutional laws banning behavior.']"
