,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,5.845232208236172,0.018749582934519848,311.75265224030755,0.0,5.808479253854784,5.88198516261756
Topic_1[T.True],-0.013342735309062895,0.03240898961301232,-0.41169858944648313,0.6805691799635327,-0.07687087462574772,0.050185404007621934
Topic_2[T.True],-0.07794564473552881,0.03636279408486165,-2.1435548806734492,0.032092610410152156,-0.14922403619885033,-0.0066672532722072825
Topic_3[T.True],0.29153899725900867,0.037824454249850224,7.707685491857774,1.4029761339173103e-14,0.217395457831995,0.36568253668602235
Topic_4[T.True],-0.04126626597108867,0.04018470671785995,-1.0269146981915889,0.3044854637731052,-0.12003637504438561,0.03750384310220826
Topic_5[T.True],-0.024445268538064883,0.041405806004535826,-0.5903826273877391,0.5549474919165565,-0.10560897786023546,0.056718440784105685
Topic_6[T.True],-0.038934969483040927,0.04408197993213881,-0.8832400346576684,0.37712782112903875,-0.1253445180658153,0.047474579099733474
Topic_7[T.True],0.12157069941070299,0.04628130526328196,2.6267776744653117,0.008632904318995294,0.03085003074341111,0.21229136807799487
Topic_8[T.True],-0.08660654584718878,0.04931491421255548,-1.7561937849856164,0.0790859242722955,-0.183273698322307,0.010060606627929444
Topic_9[T.True],-0.21394689620470192,0.050339508510219455,-4.250079163193825,2.156332978059212e-05,-0.312622459619572,-0.11527133278983184
Topic_10[T.True],-0.02935500456870012,0.05193069395929421,-0.5652727188993467,0.5719009592003853,-0.13114961156050775,0.07243960242310753
Topic_11[T.True],0.10454811280233942,0.05385560292800867,1.941267149902561,0.05225393042631586,-0.0010197029996352192,0.21011592860431405
Topic_12[T.True],-0.041384727029256274,0.057555631452972475,-0.7190387106267939,0.4721338649937009,-0.15420534307018785,0.07143588901167529
Topic_13[T.True],0.050745249652064145,0.05960446544868949,0.8513665758104684,0.3945861329250471,-0.06609149318179933,0.16758199248592762
Topic_14[T.True],-0.1689906546403669,0.059984751776759965,-2.817226872410587,0.004853524857984135,-0.286572835178965,-0.05140847410176881
Topic_15[T.True],-0.13005332695263688,0.06067134714627941,-2.14357078043902,0.03209133488867929,-0.24898137253700947,-0.011125281368264295
Topic_16[T.True],-0.12284670727937141,0.061105831015068626,-2.0103925474653566,0.044416449585514155,-0.2426264286511376,-0.0030669859076052353
Topic_17[T.True],0.11009021230125388,0.062064343443584254,1.7738077323145223,0.07612537443959594,-0.011568386253127907,0.23174881085563565
Topic_18[T.True],-0.01492273151041168,0.06364138989305675,-0.2344815462938176,0.8146159569118823,-0.13967265835818604,0.1098271953373627
Topic_19[T.True],0.043905881758583565,0.07228446185596493,0.6074041451131097,0.5435965259369513,-0.09778620485227416,0.18559796836944129
Topic_20[T.True],-0.03990935048380459,0.07448079105838556,-0.5358341381272336,0.5920850999302014,-0.18590668416415626,0.10608798319654708
Topic_21[T.True],-0.49845706597049827,0.07647551551230938,-6.517864739208817,7.475279407523281e-11,-0.6483644608567196,-0.348549671084277
Topic_22[T.True],0.04230036566621531,0.07733662878510351,0.5469641789501323,0.5844155432755618,-0.10929498446374328,0.1938957157961739
Topic_23[T.True],-0.007103903602006301,0.08237591952865356,-0.08623762432825148,0.9312792482235839,-0.16857727733702635,0.15436947013301375
Topic_24[T.True],-0.18810454800856702,0.08431067774032466,-2.2310880786408283,0.025697372772069654,-0.3533704370513088,-0.022838658965825293
Topic_25[T.True],-0.0493914667591093,0.08512734669665359,-0.5802068157382252,0.5617882268347325,-0.21625819124450996,0.11747525772629136
Topic_26[T.True],0.20046505325046085,0.08628997675582753,2.3231557219874044,0.02019073740539443,0.03131933996427039,0.3696107665366513
Topic_27[T.True],-0.08577087829980962,0.09217554313527493,-0.9305166574818446,0.3521260991619096,-0.26645348568161265,0.09491172908199341
Topic_28[T.True],0.2788939342524883,0.10144946051420659,2.749092334635265,0.005986779356841722,0.08003258318582673,0.4777552853191499
Topic_29[T.True],-0.1595164764621081,0.10525054920444848,-1.51558806740522,0.12965514378565393,-0.3658287260218165,0.046795773097600274
Topic_30[T.True],-0.2385939445026834,0.1052524884790779,-2.26687224169632,0.02341928604631173,-0.4449099954307868,-0.03227789357457997
Topic_31[T.True],-0.02653615522947056,0.1095436988470979,-0.24224264388324124,0.8085971199187353,-0.24126384173621981,0.1881915312772787
Topic_32[T.True],-0.2765189420587685,0.11146068447076575,-2.4808652788355583,0.013122704241413685,-0.4950043060254641,-0.05803357809207285
Topic_33[T.True],-0.33588051749528175,0.11142730851369487,-3.0143465006515946,0.002581790041763739,-0.5543004578719197,-0.11746057711864383
vader_compound,0.012225578173938708,0.013874813530385218,0.8811345930642773,0.37826614609173104,-0.01497184752419025,0.039423003872067666
