,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Topic_21[T.True],-0.4984570659704982,0.0764755155123093,-6.517864739208817,7.475279407523281e-11,-0.6483644608567196,-0.348549671084277
Topic_33[T.True],-0.3358805174952817,0.1114273085136948,-3.0143465006515946,0.0025817900417637,-0.5543004578719197,-0.1174605771186438
Topic_32[T.True],-0.2765189420587685,0.1114606844707657,-2.4808652788355583,0.0131227042414136,-0.4950043060254641,-0.0580335780920728
Topic_30[T.True],-0.2385939445026834,0.1052524884790779,-2.26687224169632,0.0234192860463117,-0.4449099954307868,-0.0322778935745799
Topic_9[T.True],-0.2139468962047019,0.0503395085102194,-4.250079163193825,2.156332978059212e-05,-0.312622459619572,-0.1152713327898318
Topic_24[T.True],-0.188104548008567,0.0843106777403246,-2.2310880786408283,0.0256973727720696,-0.3533704370513088,-0.0228386589658252
Topic_14[T.True],-0.1689906546403669,0.0599847517767599,-2.817226872410587,0.0048535248579841,-0.286572835178965,-0.0514084741017688
Topic_15[T.True],-0.1300533269526368,0.0606713471462794,-2.14357078043902,0.0320913348886792,-0.2489813725370094,-0.0111252813682642
Topic_16[T.True],-0.1228467072793714,0.0611058310150686,-2.010392547465357,0.0444164495855141,-0.2426264286511376,-0.0030669859076052
Topic_2[T.True],-0.0779456447355288,0.0363627940848616,-2.143554880673449,0.0320926104101521,-0.1492240361988503,-0.0066672532722072
Topic_7[T.True],0.1215706994107029,0.0462813052632819,2.626777674465312,0.0086329043189952,0.0308500307434111,0.2122913680779948
Topic_26[T.True],0.2004650532504608,0.0862899767558275,2.3231557219874044,0.0201907374053944,0.0313193399642703,0.3696107665366513
Topic_28[T.True],0.2788939342524883,0.1014494605142065,2.749092334635265,0.0059867793568417,0.0800325831858267,0.4777552853191499
Topic_3[T.True],0.2915389972590086,0.0378244542498502,7.707685491857774,1.4029761339173103e-14,0.217395457831995,0.3656825366860223
